"running_HR_25p","running_HR_max","running_HR_75p","running_HR_mean","training_RPE","daily_wellness_sleep","daily_wellness_fatigue","daily_wellness_stress","daily_wellness_soreness","daily_wellness_mood","daily_HRrest","training_daypart_evening","training_daypart_morning","training_session_Ext interval","training_session_Ext tempo","training_session_Fartlek","training_session_Int endurance","training_session_Int interval","training_session_Int tempo","readiness_notready","duration","TRIMP","SHRZ","wellness","HRR"
146,161,153,139.830314009662,"4",3.5,2.5,2.5,3,3,56,1,0,0,0,0,0,0,0,0,1656,64.1736664798138,64.5324434711826,24.1,105
153,167,158,145.984732824427,"5",3,2.5,2.5,3,3,59,0,0,0,0,0,1,0,0,0,4895,192.580496436949,187.739842035982,82.6,108
161,167.8988,163,154.143139190523,"4",2.5,2.5,2.5,2.5,3,57,0,1,0,0,0,0,0,0,0,988,49.623555505775,35.7169206003158,15.9,110.8988
157,174,171,151.467399842891,"4",2.5,2.5,2.5,2.5,3,65,0,0,0,0,0,0,0,0,1,2546,98.8063800407682,101.6330241143,36.7,109
156,169,161,151.253302845528,"4",4,4,3.5,3.5,3.5,64,0,0,0,0,0,0,0,0,0,3831,167.434714538802,145.989602508816,53.5,105
156,164,158,152.062807209175,"4",3.5,3.5,3.5,3.5,3.5,61,0,0,0,0,0,1,0,0,0,3633,187.070264350842,130.125957711592,51.7,103
165,175,169,144.511098779134,"5",3,2.5,3,2.5,3,63,0,1,0,0,0,1,0,0,0,3235,101.567742030558,140.759563280525,56.7,112
162,173,164,152.559484193012,"6",3.5,3,2.5,3,2.5,61,0,0,0,0,0,1,0,0,1,2351,98.4989148648377,91.0688106953067,51,112
156,164,159,149.16882857713,"4",3.5,3.5,3.5,3,3,61,0,1,0,0,0,0,0,0,0,4960,234.296942287693,183.48737221244,69.3,103
161,172,165,152.606504809895,"4",3,3,3,3,3,58,0,1,0,0,0,0,0,0,0,4250,185.108677058249,162.17172414127,58.6,114
142,153,147,136.50658105939,"4",2.5,2.5,3,3,3,59,0,1,0,0,0,0,0,0,0,3075,107.176306603491,118.09642323129,43.2,94
164,179,167,151.642542982807,"5",2.5,2.5,2.5,2.5,3,59,0,1,0,0,0,1,0,0,0,2424,87.8894777866605,99.4273225175766,43.5,120
148,158,151,140.617014233697,"4",3.5,3,3,2.5,3.5,56,0,0,0,0,0,1,0,0,0,2994,105.87854767358,114.286944387939,42.7,102
150,158,154,143.651930609961,"6",3.5,3.5,3,3,3,59,1,0,0,0,0,0,0,0,0,1782,67.7791698657694,65.9945964580591,39.2,99
143,156.8338,151,136.711365003007,"4",2.5,2.5,3,2.5,3,61,0,1,0,0,0,0,0,0,0,1625,51.2282263277325,65.1348397272211,24,95.8338
153,165,160,145.268501202244,"5",2,2,2.5,2,3,62,1,0,0,0,0,1,0,0,1,3704,150.817096398857,145.087435931989,63.3,103
171,177,175,159.987331081081,"6",2,2.5,2.5,2.5,3,62,0,1,0,0,0,1,0,0,0,2289,106.815935003578,85.0699259591267,48.2,115
150,163,151,143.162493863525,"5",2,2,2,3,3,62,0,1,0,0,0,1,0,0,1,2030,81.4006375287634,79.9952830131615,36.2,101
164,174,170,149.713927576602,"6",2.5,2,2,2.5,3,58,0,1,0,0,0,1,0,0,1,3535,136.039406974079,141.584093893348,74.5,116
163,170,167,156.542719614922,"5",2.5,2.5,2.5,2.5,3,60,0,1,0,1,0,0,0,0,0,1597,80.6295337499718,57.6209511760379,29.5,110
158,161,160,150.767780938834,"5",3,2.5,2.5,2.5,3,60,0,1,0,0,0,1,0,0,0,2804,150.933747516539,98.8029736312497,49.6,101
157,164,159,149.191919191919,"4",2.5,2,3,2.5,3,58,0,0,0,0,0,0,0,0,0,2700,129.241240558011,99.3838059370848,38.3,106
143,154,145,139.242049469965,"3",2.5,2.5,3,2.5,3.5,60,0,1,0,0,0,0,0,0,0,1688,62.0345316748052,63.4084222574002,19,94
153,165,155,149.409535972754,"4",2.5,2.5,3.5,2.5,3.5,60,1,0,0,0,0,1,0,0,0,2342,109.105259660992,87.0952959913918,33.7,105
